pisode: 0, steps: 0, FPS: 1.0
Episode: 496, steps: 48422, FPS: 8.011888052627508
Episode: 497, steps: 48522, FPS: 7.9883606039670605
Episode: 498, steps: 48622, FPS: 8.373468437442591
Episode: 499, steps: 48722, FPS: 8.70222963553075
Episode: 500, steps: 48822, FPS: 8.776536109838698
Episode: 501, steps: 48922, FPS: 8.789455011912066
Episode: 502, steps: 49022, FPS: 9.030669079621918
Episode: 503, steps: 49106, FPS: 8.855872813556688
Episode: 504, steps: 49206, FPS: 8.616408961364472
Episode: 505, steps: 49306, FPS: 8.83646765241491
Episode: 506, steps: 49406, FPS: 8.605754707998642
Episode: 507, steps: 49506, FPS: 9.10156513728038
Episode: 508, steps: 49606, FPS: 8.794294372002659
Episode: 509, steps: 49706, FPS: 8.963445852084643
Episode: 510, steps: 49806, FPS: 8.849470737043765
Episode: 511, steps: 49906, FPS: 8.941367216577932
Episode: 512, steps: 49977, FPS: 8.375896181561783
Episode: 513, steps: 50077, FPS: 9.211687610400345
Episode: 514, steps: 50177, FPS: 9.002110952664875
